  ND   Tau Ross.    Temp.       dT (ThB)    dT (FlCorr.)   dT (used)    XNE 
  51   65.398       83379.      -1.9005       45.830       45.830      0.99474E+15
  50   26.093       65560.      0.54095      -71.167      -71.167      0.36773E+15
  49   10.134       51643.     -0.26635      -114.14      -114.14      0.14205E+15
  48   3.8092       41233.      -3.8670      -91.543      -91.543      0.63976E+14
  47   1.3827       34143.      -124.47      -44.700      -44.700      0.34654E+14
  46  0.49430       29898.      -154.52      -14.540      -16.177      0.19766E+14
  45  0.19183       27072.      -135.79       57.581      -33.405      0.11865E+14
  44  0.69831E-01   25305.      -82.657       103.10      -6.1933      0.64924E+13
  43  0.25283E-01   24225.      -9.0837       164.94       56.259      0.31722E+13
  42  0.15367E-01   23617.       32.765       109.05       60.827      0.21118E+13
  41  0.93645E-02   23149.       59.701       91.847       59.701      0.13498E+13
  40  0.57200E-02   22690.       29.187       191.51       29.187      0.82203E+12
  39  0.34988E-02   22229.       29.518       116.15       29.518      0.46739E+12
  38  0.25375E-02   21822.       29.470       0.0000       29.470      0.30041E+12
  37  0.18429E-02   21273.       23.424       0.0000       23.424      0.17336E+12
  36  0.15773E-02   20951.       15.847       0.0000       15.847      0.12125E+12
  35  0.13510E-02   20645.      -1.1455       0.0000      -1.1455      0.75021E+11
  34  0.13362E-02   20630.      -6.0178       0.0000      -6.0178      0.69793E+11
  33  0.13302E-02   20621.      -3.7915       0.0000      -3.7915      0.67799E+11
  32  0.12028E-02   20541.       1.1220       0.0000       1.1220      0.37764E+11
  31  0.11570E-02   20565.       1.9616       0.0000       1.9616      0.30229E+11
  30  0.10654E-02   20744.       3.8839       0.0000       3.8839      0.19544E+11
  29  0.10035E-02   20980.       5.2274       0.0000       5.2274      0.14459E+11
  28  0.91693E-03   21454.       7.1045       0.0000       7.1045      0.95086E+10
  27  0.85729E-03   21833.       8.6595       0.0000       8.6595      0.70736E+10
  26  0.77276E-03   22290.       10.586       0.0000       10.586      0.46602E+10
  25  0.66578E-03   22460.       15.063       0.0000       15.063      0.27421E+10
  24  0.59833E-03   22516.       18.437       0.0000       18.437      0.19244E+10
  23  0.37202E-03   21120.       19.245       0.0000       19.245      0.62639E+09
  22  0.29985E-03   20243.       18.332       0.0000       18.332      0.37816E+09
  21  0.26928E-03   19733.       17.406       0.0000       17.406      0.29480E+09
  20  0.25509E-03   19459.       16.979       0.0000       16.979      0.26025E+09
  19  0.24824E-03   19318.       17.450       0.0000       17.450      0.24448E+09
  18  0.24487E-03   19255.       15.958       0.0000       15.958      0.23696E+09
  17  0.21192E-03   18463.       13.501       0.0000       13.501      0.17151E+09
  16  0.18772E-03   17833.       11.839       0.0000       11.839      0.13096E+09
  15  0.15337E-03   16851.       8.4356       0.0000       8.4356      0.84463E+08
  14  0.13049E-03   16162.       6.2391       0.0000       6.2391      0.59361E+08
  13  0.11401E-03   15662.       4.8361       0.0000       4.8361      0.44113E+08
  12  0.91214E-04   15015.       4.4959       0.0000       4.4959      0.27171E+08
  11  0.76523E-04   14614.       6.7191       0.0000       6.7191      0.18417E+08
  10  0.57998E-04   14153.       14.935       0.0000       14.935      0.10070E+08
   9  0.47206E-04   13813.       23.749       0.0000       23.749      0.63451E+07
   8  0.25312E-04   13108.       36.922       0.0000       36.922      0.19201E+07
   7  0.12198E-04   12403.       33.652       0.0000       33.652      0.53519E+06
   6  0.49565E-05   12000.      -120.45       0.0000       0.0000      0.14187E+06
   5  0.27530E-05   12000.      -374.75       0.0000       0.0000       64340.    
   4  0.16755E-05   12000.      -576.14       0.0000       0.0000       36562.    
   3  0.54439E-06   12000.      -851.99       0.0000       0.0000       16418.    
   2  0.32746E-07   12000.      -900.00       0.0000       0.0000       9667.3    
   1   0.0000       12000.      -900.00       0.0000       0.0000       9282.9    
