:T
:T Lines.dat: Version compatible with FASTWIND data set 
:T
:T Notes: 
:T      i. Oscillator strengths are gij fj/Sum(gi), check for consistency
:T         required
:T     ii. Last two columns correspond to Number of line and Sum(gi) 
:T     iii. Wavelengths are wavelengths in air
:T     iv. Both damping constants are divided by 4pi 
:T      v. The multiplet is identified by the NIST database number. 
:T     vi. Radiative lifetimes from VALD/NIST databases
:T    vii. Collisional damping from VALD or according to Cowly (1971)
:T
:T ********************************************************************
:T 
:T OII-III
:T
:T Miguel A. Urbaneja
:T Last revision: April 2007
:T
:T *******************************************************************
:T  
:T *******************************************************************
:T         OXYGEN   OII OIII
:T *******************************************************************       
:T
     CL  TY  RBB  2  7  RBB
:T Jan 2020
 O2010  O2023  10 3875.810  .00064  2.24E+8  0.0    0.0    5.08E-7    20. 
:T:T O2033  XXXXX  1  4061.053  .29776  2.40E+7  0.0    0.0    8.51E-6    14. 
:T:T O2033  XXXXX  1  4060.526  .39353  2.40E+7  0.0    0.0    8.51E-6    14.
 O2023  O2046  2  4371.285  .01330  2.35E+8  0.0    0.0    8.51E-6    14. 
:T ends 
 O2006  O2010  1  4638.86   .0388   7.257E+7  0.0    0.0    3.99E-8    12.
 O2006  O2010  2  4641.81   .0944   7.257E+7  0.0    0.0    3.99E-8    12.
 O2006  O2010  3  4649.13   .1694   9.00E+7  0.0    0.0    .45E-06    12.
 O2006  O2010  4  4650.84   .0363   9.00E+7  0.0    0.0    .45E-06    12.
 O2006  O2010  5  4661.63   .0439   7.257E+7  0.0    0.0    3.99E-8    12.
 O2006  O2010  6  4673.73   .0068   9.00E+7  0.0    0.0    .45E-06    12.
 O2006  O2010  7  4676.23   .0336   7.257E+7  0.0    0.0    3.99E-8    12.
 O2006  O2010  8  4696.35   .0035   9.00E+7  0.0    0.0    .45E-06    12.
 O2006  O2012  1  4317.14   .0343   7.257E+7  0.0    0.0    3.99E-8    12.
 O2006  O2012  2  4319.63   .0347   7.257E+7  0.0    0.0    3.99E-8    12.
 O2006  O2012  3  4325.76   .0066   9.47E+7  0.0    0.0    .46E-06    12.
 O2006  O2012  4  4336.862  .0155   7.26E+7  0.0    0.0   1.99E-07    12.
 O2006  O2012  5  4345.56   .0376   9.47E+7  0.0    0.0    .46E-06    12.
 O2006  O2012  6  4349.43   .0957   9.47E+7  0.0    0.0    .46E-06    12.
 O2006  O2012  7  4366.89   .0374   7.257E+7  0.0    0.0    3.99E-8    12.
:T 
:T:T O2020  O2043  1  4317.78   0.060   0.70E8    0.    0.     0.27E-5    12.
 O2020  O2043  1  4317.700  .0647   0.70E8    0.    0.     9.11E-7    12. 
 O2020  O2043  2  4307.233  .0743   0.70E8    0.    0.     9.11E-7    12. 
:T
 O2021  O2042  1  4319.93   0.057   0.39E8    0.    0.     0.10E-5     6.
 O2021  O2042  2  4328.593  0.157   1.55E8    0.    0.     9.18E-7     6.
 O2022  O2045  1  4332.713  0.044   0.39E8    0.    0.     0.28E-5    20. 
 O2023  O2044  1  4366.514  0.0086  0.77E8    0.    0.     0.28E-5    14.
 O2010  O2019  1  4069.62   .0706   2.403E+7  0.0    0.0    3.99E-8    20.
 O2010  O2019  2  4069.88   .1104   2.403E+7  0.0    0.0    3.99E-8    20.
:T merged in one line to allow simultaneous synthesis with C III
:T note that the line is out of order (jul 2005)
 O2010  O2019  90 4069.7788 .1810   2.27E+7  0.0    0.0    3.99E-8    20.
